Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 21_level_0_Matches
Mohamed Salah,eg EGY,FW,32.0,37.5,169,4.51,123,2,22,14,5,3,27,0.72,20,0,5,2,0,0,Matches
Virgil van Dijk,nl NED,DF,33.0,37.0,48,1.3,41,0,1,3,1,2,4,0.11,4,0,0,0,0,0,Matches
Ryan Gravenberch,nl NED,MF,22.0,35.1,68,1.94,60,0,5,2,0,1,6,0.17,6,0,0,0,0,0,Matches
Alexis Mac Allister,ar ARG,MF,25.0,28.9,120,4.15,83,24,2,6,2,3,15,0.52,10,3,0,2,0,0,Matches
Ibrahima Konaté,fr FRA,DF,25.0,28.4,31,1.09,26,0,0,4,0,1,7,0.25,6,0,0,0,0,1,Matches
Dominik Szoboszlai,hu HUN,MF,23.0,27.7,119,4.3,90,7,5,13,3,1,16,0.58,12,1,0,3,0,0,Matches
Andrew Robertson,sct SCO,DF,30.0,27.6,80,2.9,68,9,1,1,0,1,4,0.14,4,0,0,0,0,0,Matches
Alisson,br BRA,GK,31.0,27.9,7,0.25,7,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Luis Díaz,co COL,FW,27.0,26.7,117,4.39,88,0,16,9,4,0,16,0.6,13,0,1,0,2,0,Matches
Trent Alexander-Arnold,eng ENG,DF,25.0,26.3,98,3.73,74,15,5,4,0,0,10,0.38,9,1,0,0,0,0,Matches
Cody Gakpo,nl NED,FW,25.0,21.5,80,3.72,57,0,9,7,5,2,8,0.37,3,0,3,1,1,0,Matches
Curtis Jones,eng ENG,"MF,DF",23.0,19.0,52,2.74,45,1,0,4,2,0,8,0.42,5,1,0,1,1,0,Matches
Diogo Jota,pt POR,FW,27.0,13.3,37,2.79,24,0,6,5,1,1,9,0.68,5,0,2,1,1,0,Matches
Caoimhín Kelleher,ie IRL,GK,25.0,10.0,3,0.3,3,0,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
Kostas Tsimikas,gr GRE,DF,28.0,9.3,31,3.33,21,9,0,0,1,0,2,0.21,1,1,0,0,0,0,Matches
Darwin Núñez,uy URU,FW,25.0,12.6,31,2.46,21,0,4,1,2,3,4,0.32,3,0,0,0,1,0,Matches
Conor Bradley,nir NIR,DF,21.0,8.4,19,2.27,13,0,5,0,1,0,4,0.48,3,0,1,0,0,0,Matches
Joe Gomez,eng ENG,DF,27.0,5.8,5,0.87,5,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
Jarell Quansah,eng ENG,DF,21.0,5.5,3,0.55,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Harvey Elliott,eng ENG,MF,21.0,4.1,21,5.11,17,3,1,0,0,0,3,0.73,3,0,0,0,0,0,Matches
Wataru Endo,jp JPN,"MF,DF",31.0,3.0,6,1.96,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Federico Chiesa,it ITA,FW,26.0,1.2,6,5.0,6,0,0,0,0,0,1,0.83,1,0,0,0,0,0,Matches
Vitezslav Jaros,cz CZE,GK,23.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jayden Danns,eng ENG,MF,18.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.2,38.0,1151,30.29,881,70,82,73,27,18,147,3.87,111,7,12,10,6,1,
Opponent Total,,,26.1,38.0,659,17.34,491,44,40,38,39,7,66,1.74,45,7,4,5,4,1,
