Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Mohamed Salah,eg EGY,FW,32.0,38,3371.0,89.0,98.6,37.5,38,89.0,29,0,,0,2.21,85.0,40.0,45.0,1.2,1.2,81.6,38.1,43.5,1.16,1.05,Matches
Virgil van Dijk,nl NED,DF,33.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,1,2.27,84.0,38.0,46.0,1.24,2.24,79.9,36.4,43.5,1.18,1.14,Matches
Ryan Gravenberch,nl NED,MF,22.0,37,3160.0,85.0,92.4,35.1,37,85.0,27,0,,0,2.27,79.0,35.0,44.0,1.25,0.91,76.2,33.3,42.8,1.22,0.96,Matches
Alexis Mac Allister,ar ARG,MF,25.0,35,2599.0,74.0,76.0,28.9,30,82.0,17,5,26.0,0,2.34,69.0,24.0,45.0,1.56,1.56,64.2,24.3,39.9,1.38,0.98,Matches
Ibrahima Konaté,fr FRA,DF,25.0,31,2560.0,83.0,74.9,28.4,30,84.0,24,1,45.0,1,2.26,59.0,28.0,31.0,1.09,-0.38,58.6,26.9,31.7,1.11,-0.14,Matches
Dominik Szoboszlai,hu HUN,MF,23.0,36,2491.0,69.0,72.8,27.7,29,80.0,17,7,26.0,0,2.22,60.0,29.0,31.0,1.12,-0.24,59.6,27.3,32.3,1.17,0.07,Matches
Andrew Robertson,sct SCO,DF,30.0,33,2482.0,75.0,72.6,27.6,29,82.0,16,4,29.0,5,2.27,70.0,31.0,39.0,1.41,0.84,61.0,27.3,33.7,1.22,0.27,Matches
Alisson,br BRA,GK,31.0,28,2508.0,90.0,73.3,27.9,28,90.0,27,0,,0,2.18,64.0,29.0,35.0,1.26,0.27,62.2,27.4,34.9,1.25,0.39,Matches
Luis Díaz,co COL,FW,27.0,36,2399.0,67.0,70.1,26.7,28,79.0,7,8,24.0,2,2.25,67.0,21.0,46.0,1.73,1.81,61.2,24.9,36.2,1.36,0.71,Matches
Trent Alexander-Arnold,eng ENG,DF,25.0,33,2365.0,72.0,69.2,26.3,28,79.0,12,5,29.0,1,2.27,67.0,25.0,42.0,1.6,1.34,58.6,21.7,36.9,1.4,0.84,Matches
Cody Gakpo,nl NED,FW,25.0,35,1935.0,55.0,56.6,21.5,23,73.0,6,12,21.0,0,2.2,45.0,25.0,20.0,0.93,-0.58,45.3,21.6,23.8,1.11,-0.09,Matches
Curtis Jones,eng ENG,"MF,DF",23.0,33,1712.0,52.0,50.1,19.0,19,76.0,6,14,19.0,1,2.09,38.0,27.0,11.0,0.58,-1.21,34.6,23.4,11.1,0.59,-1.12,Matches
Diogo Jota,pt POR,FW,27.0,26,1196.0,46.0,35.0,13.3,14,67.0,2,12,22.0,3,2.12,29.0,12.0,17.0,1.28,0.15,28.9,12.0,16.9,1.28,0.2,Matches
Caoimhín Kelleher,ie IRL,GK,25.0,10,900.0,90.0,26.3,10.0,10,90.0,10,0,,27,2.3,22.0,12.0,10.0,1.0,-0.25,19.8,11.1,8.7,0.87,-0.37,Matches
